,Unnamed: 0,date,counts,price,year,month,day
990,990,2018-12-06,186,171.0,2018,12,06 00:00:00
993,993,2018-12-25,325,860.0,2018,12,25 00:00:00
997,997,2018-06-26,165,356.0,2018,06,26 00:00:00
999,999,2018-01-30,112,284.0,2018,01,30 00:00:00
1006,1006,2018-08-01,204,804.0,2018,08,01 00:00:00
1008,1008,2018-10-10,125,142.0,2018,10,10 00:00:00
1018,1018,2018-03-23,22,306.0,2018,03,23 00:00:00
1020,1020,2018-08-30,276,398.0,2018,08,30 00:00:00
1022,1022,2018-01-06,79,370.0,2018,01,06 00:00:00
1029,1029,2018-10-26,237,796.0,2018,10,26 00:00:00
1040,1040,2018-11-05,213,787.0,2018,11,05 00:00:00
1044,1044,2018-02-03,104,405.0,2018,02,03 00:00:00
1053,1053,2018-04-13,113,192.0,2018,04,13 00:00:00
1057,1057,2018-01-21,167,235.0,2018,01,21 00:00:00
1059,1059,2018-05-17,134,320.0,2018,05,17 00:00:00
1061,1061,2018-01-01,409,397.0,2018,01,01 00:00:00
1069,1069,2018-12-29,258,418.0,2018,12,29 00:00:00
1075,1075,2018-04-01,145,801.0,2018,04,01 00:00:00
1077,1077,2018-07-03,164,292.0,2018,07,03 00:00:00
1095,1095,2018-03-17,38,113.0,2018,03,17 00:00:00
1098,1098,2018-03-31,33,427.0,2018,03,31 00:00:00
1108,1108,2018-01-11,74,433.0,2018,01,11 00:00:00
1114,1114,2018-04-30,312,235.0,2018,04,30 00:00:00
1120,1120,2018-03-06,55,967.0,2018,03,06 00:00:00
1121,1121,2018-04-09,115,100.0,2018,04,09 00:00:00
1124,1124,2018-02-23,139,299.0,2018,02,23 00:00:00
1126,1126,2018-01-29,109,170.0,2018,01,29 00:00:00
1159,1159,2018-08-04,265,1486.0,2018,08,04 00:00:00
1160,1160,2018-11-22,179,1000.0,2018,11,22 00:00:00
1166,1166,2018-08-26,488,2404.0,2018,08,26 00:00:00
1178,1178,2018-09-13,214,306.0,2018,09,13 00:00:00
1179,1179,2018-02-26,114,747.0,2018,02,26 00:00:00
1183,1183,2018-03-22,11,348.0,2018,03,22 00:00:00
1190,1190,2018-05-24,145,199.0,2018,05,24 00:00:00
1193,1193,2018-02-04,132,519.0,2018,02,04 00:00:00
1194,1194,2018-06-01,156,676.0,2018,06,01 00:00:00
1200,1200,2018-07-22,274,383.0,2018,07,22 00:00:00
1206,1206,2018-07-30,249,347.0,2018,07,30 00:00:00
1210,1210,2018-06-19,188,583.0,2018,06,19 00:00:00
1239,1239,2018-02-25,146,420.0,2018,02,25 00:00:00
1243,1243,2018-06-08,184,9998.0,2018,06,08 00:00:00
1252,1252,2018-01-16,101,5021.0,2018,01,16 00:00:00
1256,1256,2018-11-21,168,277.0,2018,11,21 00:00:00
1264,1264,2018-09-19,202,377.0,2018,09,19 00:00:00
1265,1265,2018-01-23,84,525.0,2018,01,23 00:00:00
1276,1276,2018-08-17,272,1643.0,2018,08,17 00:00:00
1277,1277,2018-09-18,177,519.0,2018,09,18 00:00:00
1286,1286,2018-08-05,340,427.0,2018,08,05 00:00:00
1287,1287,2018-05-14,153,298.0,2018,05,14 00:00:00
1289,1289,2018-12-16,336,199.0,2018,12,16 00:00:00
1304,1304,2018-09-07,244,853.0,2018,09,07 00:00:00
1310,1310,2018-06-20,153,213.0,2018,06,20 00:00:00
1314,1314,2018-12-18,193,525.0,2018,12,18 00:00:00
1322,1322,2018-08-03,206,860.0,2018,08,03 00:00:00
1330,1330,2018-11-30,234,525.0,2018,11,30 00:00:00
1332,1332,2018-04-15,236,220.0,2018,04,15 00:00:00
1335,1335,2018-12-03,199,391.0,2018,12,03 00:00:00
1338,1338,2018-01-05,94,418.0,2018,01,05 00:00:00
1347,1347,2018-08-20,256,235.0,2018,08,20 00:00:00
1350,1350,2018-03-13,28,981.0,2018,03,13 00:00:00
1353,1353,2018-06-28,193,284.0,2018,06,28 00:00:00
1364,1364,2018-12-13,174,761.0,2018,12,13 00:00:00
1367,1367,2018-03-09,51,327.0,2018,03,09 00:00:00
1368,1368,2018-08-23,281,761.0,2018,08,23 00:00:00
1369,1369,2018-02-28,120,879.0,2018,02,28 00:00:00
1377,1377,2018-04-29,253,397.0,2018,04,29 00:00:00
1392,1392,2018-05-07,141,569.0,2018,05,07 00:00:00
1393,1393,2018-09-15,224,71.0,2018,09,15 00:00:00
1396,1396,2018-02-12,79,498.0,2018,02,12 00:00:00
1400,1400,2018-12-07,186,113.0,2018,12,07 00:00:00
1403,1403,2018-06-13,146,661.0,2018,06,13 00:00:00
1410,1410,2018-11-16,201,597.0,2018,11,16 00:00:00
1415,1415,2018-07-06,210,220.0,2018,07,06 00:00:00
1428,1428,2018-06-06,159,85.0,2018,06,06 00:00:00
1433,1433,2018-07-11,218,461.0,2018,07,11 00:00:00
1435,1435,2018-09-29,205,441.0,2018,09,29 00:00:00
1440,1440,2018-04-10,77,220.0,2018,04,10 00:00:00
1446,1446,2018-02-21,195,447.0,2018,02,21 00:00:00
1465,1465,2018-12-15,215,434.0,2018,12,15 00:00:00
1469,1469,2018-01-27,118,341.0,2018,01,27 00:00:00
1472,1472,2018-05-31,157,277.0,2018,05,31 00:00:00
